image_idx,class_label,pixelation_level,user_guess,correct,action_taken
0,0,6.5,,,next_level
0,0,5.0,,,next_level
0,0,4.2,0,True,guess
1,7,6.5,,,next_level
1,7,5.0,3,False,guess
2,8,6.5,,,next_level
2,8,5.0,,,next_level
2,8,4.2,,,next_level
2,8,3.5,,,next_level
2,8,3.0,,,next_level
2,8,2.6,,,next_level
2,8,2.2,,,next_level
2,8,2.0,8,True,guess
3,2,6.5,,,next_level
3,2,5.0,,,next_level
3,2,4.2,,,next_level
3,2,3.5,,,next_level
3,2,3.0,2,True,guess
4,9,6.5,,,next_level
4,9,5.0,,,next_level
4,9,4.2,,,next_level
4,9,3.5,,,next_level
4,9,3.0,4,False,guess
5,9,6.5,,,next_level
5,9,5.0,,,next_level
5,9,4.2,,,next_level
5,9,3.5,,,next_level
5,9,3.0,,,next_level
5,9,2.6,9,True,guess
6,5,6.5,,,next_level
6,5,5.0,,,next_level
6,5,4.2,,,next_level
6,5,3.5,,,next_level
6,5,3.0,,,next_level
6,5,2.6,,,next_level
6,5,2.2,,,next_level
6,5,2.0,,,next_level
6,5,1.8,,,next_level
6,5,1.6,5,True,guess
7,9,6.5,,,next_level
7,9,5.0,,,next_level
7,9,4.2,,,next_level
7,9,3.5,,,next_level
7,9,3.0,9,True,guess
8,8,6.5,,,next_level
8,8,5.0,,,next_level
8,8,4.2,,,next_level
8,8,3.5,,,next_level
8,8,3.0,,,next_level
8,8,2.6,6,False,guess
9,4,6.5,,,next_level
9,4,5.0,,,next_level
9,4,4.2,,,next_level
9,4,3.5,4,True,guess
10,4,6.5,,,next_level
10,4,5.0,,,next_level
10,4,4.2,,,next_level
10,4,3.5,,,next_level
10,4,3.0,,,next_level
10,4,2.6,,,next_level
10,4,2.2,4,True,guess
11,3,6.5,,,next_level
11,3,5.0,,,next_level
11,3,4.2,,,next_level
11,3,3.5,,,next_level
11,3,3.0,3,True,guess
12,4,6.5,,,next_level
12,4,5.0,,,next_level
12,4,4.2,,,next_level
12,4,3.5,,,next_level
12,4,3.0,,,next_level
12,4,2.6,,,next_level
12,4,2.2,,,next_level
12,4,2.0,,,next_level
12,4,1.8,4,True,guess
13,7,6.5,,,next_level
13,7,5.0,,,next_level
13,7,4.2,,,next_level
13,7,3.5,,,next_level
13,7,3.0,7,True,guess
14,2,6.5,,,next_level
14,2,5.0,,,next_level
14,2,4.2,,,next_level
14,2,3.5,,,next_level
14,2,3.0,,,next_level
14,2,2.6,,,next_level
14,2,2.2,,,next_level
14,2,2.0,7,False,guess
15,5,6.5,,,next_level
15,5,5.0,,,next_level
15,5,4.2,,,next_level
15,5,3.5,,,next_level
15,5,3.0,5,True,guess
16,0,6.5,,,next_level
16,0,5.0,,,next_level
16,0,4.2,,,next_level
16,0,3.5,,,next_level
16,0,3.0,9,False,guess
17,4,6.5,,,next_level
17,4,5.0,,,next_level
17,4,4.2,,,next_level
17,4,3.5,,,next_level
17,4,3.0,4,True,guess
18,6,6.5,,,next_level
18,6,5.0,,,next_level
18,6,4.2,,,next_level
18,6,3.5,,,next_level
18,6,3.0,,,next_level
18,6,2.6,6,True,guess
19,5,6.5,,,next_level
19,5,5.0,,,next_level
19,5,4.2,,,next_level
19,5,3.5,,,next_level
19,5,3.0,,,next_level
19,5,2.6,5,True,guess
20,7,6.5,,,next_level
20,7,5.0,,,next_level
20,7,4.2,,,next_level
20,7,3.5,,,next_level
20,7,3.0,7,True,guess
21,5,6.5,,,next_level
21,5,5.0,,,next_level
21,5,4.2,,,next_level
21,5,3.5,,,next_level
21,5,3.0,,,next_level
21,5,2.6,,,next_level
21,5,2.2,,,next_level
21,5,2.0,5,True,guess
22,9,6.5,,,next_level
22,9,5.0,,,next_level
22,9,4.2,,,next_level
22,9,3.5,9,True,guess
23,5,6.5,,,next_level
23,5,5.0,,,next_level
23,5,4.2,,,next_level
23,5,3.5,5,True,guess
24,5,6.5,,,next_level
24,5,5.0,,,next_level
24,5,4.2,,,next_level
24,5,3.5,,,next_level
24,5,3.0,5,True,guess
25,6,6.5,,,next_level
25,6,5.0,,,next_level
25,6,4.2,6,True,guess
26,2,6.5,,,next_level
26,2,5.0,,,next_level
26,2,4.2,,,next_level
26,2,3.5,,,next_level
26,2,3.0,2,True,guess
27,4,6.5,,,next_level
27,4,5.0,,,next_level
27,4,4.2,,,next_level
27,4,3.5,4,True,guess
28,3,6.5,,,next_level
28,3,5.0,,,next_level
28,3,4.2,,,next_level
28,3,3.5,,,next_level
28,3,3.0,3,True,guess
29,2,6.5,,,next_level
29,2,5.0,,,next_level
29,2,4.2,2,True,guess
30,0,6.5,,,next_level
30,0,5.0,,,next_level
30,0,4.2,0,True,guess
31,6,6.5,,,next_level
31,6,5.0,,,next_level
31,6,4.2,6,True,guess
32,4,6.5,,,next_level
32,4,5.0,,,next_level
32,4,4.2,4,True,guess
33,4,6.5,,,next_level
33,4,5.0,,,next_level
33,4,4.2,,,next_level
33,4,3.5,4,True,guess
34,2,6.5,,,next_level
34,2,5.0,,,next_level
34,2,4.2,,,next_level
34,2,3.5,,,next_level
34,2,3.0,,,next_level
34,2,2.6,2,True,guess
